"*Presiona el ícono de 3 puntos para abrir en navegador
TRICOMA PERFUMES
U,Tom Ford,,Eau de Soleil Blanc (2025),2ml: $155mxn,5ml: $320mxn,10ml: $555mxn,"30ml: $1,445mxn",,
U,Tom Ford,,Soleil Blanc (edp),2ml: $245mxn,5ml: $495mxn,10ml: $865mxn,"30ml: $2,165mxn",,
H,Tommy Hilfiger,,Tommy Man ,—,5ml: $72mxn,10ml: $120mxn,30ml: $375mxn,,
H,Valentino,,Born in Roma (edt),2ml: $99mxn,5ml: $199mxn,10ml: $389mxn,30ml: $975mxn,,
H,Valentino ,,Born in Roma Intense,2ml: $120mxn,5ml: $238mxn,10ml: $448mxn,"30ml: $1,195mxn",,
H,Valentino,,Born in Roma Extradose,2ml: $125mxn,5ml: $243mxn,10ml: $443mxn,"30ml: $1,225mxn",,
H,Valentino ,,Born in Roma Ivory,2ml: $119mxn,5ml: $238mxn,10ml: $435mxn,"30ml: $1,195mxn",,
H,Valentino,,Born in Roma Coral Fantasy,2ml: $95mxn,5ml: $199mxn,10ml: $379mxn,30ml: $945mxn,,
H,Valentino,,Born in Roma Green Stravag.,2ml: $90mxn,5ml: $188mxn,10ml: $369mxn,30ml: $925mxn,,
M,Versace,,Bright Crystal (edt),—,5ml: $118mxn,10ml: $168mxn,30ml: $495mxn,,
H,Versace,,Eros (edt) caballero ,—,5ml: $120mxn,10ml: $172mxn,30ml: $525mxn,,
H,Versace,,Eros Flame,—,5ml: $132mxn,10ml: $195mxn,30ml: $575mxn,,
H,Versace,,Dylan Blue (edt),—,5ml: $105mxn,10ml: $182mxn,30ml: $520mxn,,
H,Versace,,Oud Noir ,2ml: $75mxn,5ml: $139mxn,10ml: $265mxn,30ml: $768mxn,,
H,Versace,,Pour Homme,—,5ml: $99mxn,10ml: $174mxn,30ml: $468mxn,,
U,Viktor & Rolf,,Spicebomb,—,5ml: $142mxn,10ml: $258mxn,30ml: $690mxn,,
H,Yves Saint Laurent,,Y (Edt),2ml: $89mxn,5ml: $172mxn,10ml: $295mxn,30ml: $795mxn,,
H,Yves Saint Laurent,,Y (Edp),2ml: $93mxn,5ml:$188mxn,10ml: $328mxn,30ml: $868mxb,,
H,Yves Saint Laurent,,Y (parfum) ,2ml: $94mxn,5ml: $190mxn,10ml: $336mxn,30ml: $935mxn,,
H,Yves Saint Laurent,,Myslf (parfum),2ml: $100mxn,5ml: $219mxn,10ml: $419mxn,"30ml: $1,125mxn",,
H,Yves Saint Laurent,,Tuxedo,2ml: $235mxn,5ml: $465mxn,10ml: $834mxn,"30ml: $2,288mxn",,
U,Xerjoff,,Naxos,2ml:$180mxn,5ml: $369mxn,10ml: $662mxn,"30ml: $1,645mxn",,
U,Xerjoff,,Erba Pura,2ml: $180mxn,5ml: $369mxn,10ml: $662mxn,"30ml: $1,645mxn",,
U,Xerjoff,,Erba Gold,2ml: $190mxn,5ml: $398mxn,10ml: $724mxn,"30ml: $1,795mxn",,
U,Xerjoff,,Torino 21,2ml: $212mxn,5ml: $442mxn,10ml: $767mxn,"30ml: $1,955mxn",,
U,Zoologist,,Tyrannosaurus Rex [extrait],1ml: $180mxn,5ml: $625mxn,"10ml: $1,075mxn","30ml: $2,950mxn",,
